LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0002537656-0017-6,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 11490 | CALIFORNIA FOOD MANAGEMENT,4918 W SUNSET BLVD,LOS ANGELES,4918 SUNSET 90027-5814,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,13,01/03/2011,,"(34.0981, -118.2965)"
0000864857-0001-5,CAMILLES INC,DENNY'S RESTAURANT | DENNYS RESTAURANT 6231,530 RAMIREZ STREET,LOS ANGELES,530 RAMIREZ 90012-2926,POST OFFICE BOX #15490,LONG BEACH,90815-0490,722110,Full-service restaurants,14,12/01/1969,,"(34.0546, -118.2316)"
0002871208-0001-6,SALT & STRAW LLC,,240 N LARCHMONT BLVD,LOS ANGELES,240 LARCHMONT 90004-3707,2121 SE 7TH AVENUE,PORTLAND,97214-4604,722110,Full-service restaurants,4,12/04/2015,,"(34.0752, -118.3236)"
0002573777-0001-6,143 S LA BREA INC,SYCAMORE KITCHEN | THE SYCAMORE KITCHEN,143 S LA BREA AVENUE,LOS ANGELES,143 LA BREA 90036-2909,32129 LINDERO CANYON ROAD SUITE #104,WESTLAKE VILLAGE,91361-5437,722110,Full-service restaurants,5,03/01/2012,,"(34.0724, -118.344)"
0002786945-0001-1,GEORGES DRIVE IN BOYLE HEIGHTS LLC,,2311 E CESAR E CHAVEZ AVENUE,LOS ANGELES,2311 CESAR E CHAVEZ 90033-1810,,,,722110,Full-service restaurants,14,11/18/2014,,"(34.0471, -118.2085)"
0002661667-0001-9,"OECY CO., INC.",TAKARA RAMEN BAR,7300 W SUNSET BLVD SUITE #A,LOS ANGELES,7300 SUNSET 90046-3429,7300 W SUNSET BLVD SUITE #A,LOS ANGELES,90046-3429,722110,Full-service restaurants,4,03/01/2013,,"(34.098, -118.3495)"
0002719824-0001-9,ROSEMARY RESTAURANT,TAKESUSHI RESTAURANT & ANDANTE,745 S OXFORD AVENUE,LOS ANGELES,745 OXFORD 90005-2909,3200   WILSHIRE BLVD   SUITE #1000,LOS ANGELES,90010-1313,722110,Full-service restaurants,10,01/01/2008,,"(34.0581, -118.3078)"
0002591422-0002-7,NATTALY LICON,SAN PEDRO TACOS,114 N GAFFEY STREET SUITE #B,SAN PEDRO,114 GAFFEY 90731-9602,,,,722110,Full-service restaurants,15,11/15/2015,,"(33.7434, -118.2923)"
0002537656-0009-5,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 5658 | CALIFORNIA FOOD MANAGEMENT          ATT: BURGER KING #5658,5850 CRENSHAW BLVD,LOS ANGELES,5850 CRENSHAW 90043-2434,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,8,01/03/2011,,"(33.9881, -118.3307)"
0002870160-0001-6,LILIAN ANAI TIBURCIO,SENORITA ABBY'S,3751 S WESTERN AVENUE,LOS ANGELES,3751 WESTERN 90018-4436,,,,722110,Full-service restaurants,8,11/30/2015,,"(34.0193, -118.3089)"
0002829272-0003-7,COTTI FOODS PIZZA CALIFORNIA,PIEOLOGY #8059,19953 RINALDI STREET,PORTER RANCH,19953 RINALDI 91326-4140,29889 SANTA MARGARITA PARKWAYS,RANCHO SANTA MARGARITA,92688-3609,722110,Full-service restaurants,12,11/16/2015,,"(34.2756, -118.5694)"
0002659975-0004-4,CONCESSIONS MANAGEMENT LS AT LAX TBIT LLC,CANTINA LAREDO,1 WORLD WAY #T81,LOS ANGELES,1 WORLD 90045-5803,7929 BROOKRIVER DRIVE SUITE #200,DALLAS,75247-4945,722110,Full-service restaurants,11,05/01/2015,,"(33.9453, -118.3995)"
0000202774-0001-5,GENOVEVA/GUILLERMO PADILLA,LA BARCA,2414 S VERMONT AVENUE,LOS ANGELES,2414 VERMONT 90007-1660,2414 S VERMONT AVENUE,LOS ANGELES,90007-1660,722110,Full-service restaurants,8,05/01/1976,,"(34.0341, -118.2915)"
0002869956-0001-4,DOMITILA CACERES,LA PIRAMIDE SALVADORENA RESTAURANT,4021 BEVERLY BLVD,LOS ANGELES,4021 BEVERLY 90004,4021 BEVERLY BLVD,LOS ANGELES,90004-3313,722110,Full-service restaurants,13,01/01/2016,,"(34.0762, -118.2967)"
0002816272-0002-1,SANGHEE HAN,KITCHEN SOODA,618 S SERRANO AVENUE,LOS ANGELES,618 SERRANO 90005-2847,618 S SERRANO AVENUE,LOS ANGELES,90005-2847,722110,Full-service restaurants,10,10/20/2015,,"(34.0629, -118.3065)"
0002713247-0001-7,SAM RUBY INC,RUBY THAI KITCHEN,9301 TAMPA AVENUE SUITE #107,NORTHRIDGE,9301 TAMPA 91324-5695,POST OFFICE BOX #929,ALIEF,77411-0929,722110,Full-service restaurants,12,06/09/2013,,"(34.2391, -118.5535)"
0002587679-0001-2,HACIENDA PLAYA LLC,HACIENDA PLAYA,8415 PERSHING DRIVE #304,PLAYA DEL REY,8415 PERSHING 90293-7843,POST OFFICE BOX #882049,LOS ANGELES,90009-3020,722110,Full-service restaurants,11,12/01/2011,,"(33.9572, -118.443)"
0000164376-0001-9,MICHAEL ROSEN / SUSAN THORMAN ROSEN,THORMAN-ROSEN ENTERPRISES,12625   CALIFA STREET,VALLEY VILLAGE,12625 CALIFA 91607-1008,,,,722110,Full-service restaurants,2,05/09/1996,,"(34.1778, -118.4081)"
0002871578-0001-6,PHAWINEE WONGTHONG,TOKYO CUBE,3173 CAHUENGA BLVD W,LOS ANGELES,3173 CAHUENGA 90068-1769,,,,722110,Full-service restaurants,4,01/01/2016,,"(34.128, -118.3467)"
0002993345-0001-8,SUMMER ROLL ENTERPRISES LLC,XO BEVERLY,7475   BEVERLY BLVD,LOS ANGELES,7475 BEVERLY 90036-2702,7475   BEVERLY BLVD,LOS ANGELES,90036-2702,722110,Full-service restaurants,5,04/19/2017,,"(34.0764, -118.353)"
0000023619-0001-7,C & K IMPORTING CO INC,C&K IMPORTING CO,2771 W PICO BLVD,LOS ANGELES,2771 PICO 90006-3913,2771 W PICO BLVD,LOS ANGELES,90006-3913,722110,Full-service restaurants,1,01/01/1949,,"(34.0472, -118.2997)"
0000025433-0001-5,PHU NGUYEN HA,ALPINE STORE,838 N BROADWAY UNIT #C,LOS ANGELES,838 BROADWAY 90012-4372,,,,722110,Full-service restaurants,1,04/21/1992,,"(34.0631, -118.2378)"
0002870342-0001-4,JECA MANAGEMENT GROUP INC,EL DELFIN FAMILY RESTAURANT,1800 S CENTRAL AVENUE,LOS ANGELES,1800 CENTRAL 90021-3033,,,,722110,Full-service restaurants,14,12/01/2015,,"(34.0251, -118.2498)"
0002537656-0013-3,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 10734 | CALIFORNIA FOOD MANAGEMENT          ATT: BURGER KING #10734,1830 W 8TH STREET,LOS ANGELES,1830 8TH 90057-4918,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,1,01/03/2011,,"(34.0536, -118.2752)"
0002872118-0001-9,KRISTIN MAHONSKI,CHOPSTICK EXPRESS,16851 VICTORY BLVD #6,VAN NUYS,16851 VICTORY 91406-5560,,,,722110,Full-service restaurants,6,10/30/2015,,"(34.1866, -118.5002)"
0000398020-0001-8,RAFI NAZLOOMIAN,FOOD COURT,2216 N SAN FERNANDO ROAD,LOS ANGELES,2216 SAN FERNANDO 90065-1232,,,,722110,Full-service restaurants,1,03/30/2000,,"(34.104, -118.238)"
0002408528-0001-2,COMIDA MEXICANA RESTAURANT INC,,11406 HERRICK AVENUE #D,PACOIMA,11406 HERRICK 91331-1833,13248 CORNELIUS STREET,PACOIMA,91331-1825,722110,Full-service restaurants,7,02/04/2009,,"(34.2775, -118.4215)"
0000645358-0003-9,PRODROMOS MIKE BEGAKIS,MONTEREY CONCESSIONS,4989 SEPULVEDA BLVD,SHERMAN OAKS,4989 SEPULVEDA 91403-1509,,,,722110,Full-service restaurants,4,09/01/2007,,"(34.161, -118.4661)"
0002763932-0006-1,SOCAL CONCESSIONS LLC,BARNEY'S BEANERY,1 WORLD WAY SPACE #240,LOS ANGELES,1 WORLD 90045-5803,1760 PEACHTREE STREET NW,ATLANTA,30309-2335,722110,Full-service restaurants,11,12/08/2015,,"(33.9453, -118.3995)"
0002853635-0001-8,ABBEY WAIUSIMBI,JALIZ CUISINE OF EAST AFRICA,14747 KITTRIDGE STREET,VAN NUYS,14747 KITTRIDGE 91405-3812,POST OFFICE BOX #9192,N HOLLYWOOD,91609-1192,722110,Full-service restaurants,6,07/14/2015,,"(34.1906, -118.4541)"
0002869975-0001-7,"THREE BROTHERS AND AN ENGLISHMAN, INC.",PIZZA DELLA NONNA,1570 S WESTERN AVENUE #106,LOS ANGELES,1570 WESTERN 90006,1570 S WESTERN AVENUE #106,LOS ANGELES,90006-5829,722110,Full-service restaurants,10,11/01/2015,,"(34.0442, -118.309)"
0002537656-0003-6,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 1067 | CALIFORNIA FOOD MANAGEMENT          ATT: BURGER KING #1067,19640 NORDHOFF STREET,NORTHRIDGE,19640 NORDHOFF 91324-2421,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,12,01/03/2011,,"(34.2354, -118.561)"
0002537656-0008-7,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 5180 | CALIFORNIA FOOD MANAGEMENT,3101 N SAN FERNANDO ROAD,LOS ANGELES,3101 SAN FERNANDO 90065-1412,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,13,01/03/2011,,"(34.1149, -118.2459)"
0002655724-0001-1,"NAAB CAFE, INC.",NAAB CAFE,1269 WESTWOOD BLVD,LOS ANGELES,1269 WESTWOOD 90024-4811,,,,722110,Full-service restaurants,5,02/01/2013,,"(34.0575, -118.4431)"
0002537656-0016-8,CALIFORNIA FOOD MANAGEMENT LLC,BURGER KING 11406 | CALIFORNIA FOOD MANAGEMENT,6155 YORK BLVD,LOS ANGELES,6155 YORK 90042-3547,8306 WILSHIRE BLVD SUITE #5002,BEVERLY HILLS,90211-2304,722110,Full-service restaurants,14,01/03/2011,,"(34.1162, -118.185)"
0002872299-0001-1,MIN 88 GROUP,CHEF MING'S KITCHEN,12239 SANTA MONICA BLVD,LOS ANGELES,12239 SANTA MONICA 90025-2517,,,,722110,Full-service restaurants,11,08/01/2015,,"(34.0398, -118.465)"
0002847342-0001-6,IPSILON LLC,,2478 FLETCHER DRIVE,LOS ANGELES,2478 FLETCHER 90039-2802,,,,722110,Full-service restaurants,13,08/11/2015,,"(34.1073, -118.2549)"
0000072252-0001-1,EL COYOTE MEXICAN FOODS INC,,7312 BEVERLY BLVD,LOS ANGELES,7312 BEVERLY 90036-2535,,,,722110,Full-service restaurants,5,12/23/1985,,
0002812843-0001-6,LIMITLESS MONEY INVESTING LLC,FATBURGER NORTH HOLLYWOOD,11009 BURBANK BLVD SUITE #126,NORTH HOLLYWOOD,11009 BURBANK 91601-2458,,,,722110,Full-service restaurants,2,03/10/2015,,"(34.1721, -118.3707)"
0002507437-0001-1,ELVIA G MERCADO,POPUSERIA SALVADORE?A LA NUMERO UNO,1247 VINE STREET,LOS ANGELES,1247 VINE 90038-1621,,,,722110,Full-service restaurants,13,06/01/2010,,"(34.0937, -118.3266)"
0002845003-0001-7,VILLAGE MEXICAN RESTAURANT LLC,XOC TEQUILA GRILL/XOC TACOS,6316 TOPANGA CANYON BLVD SUITE #1110,WOODLAND HILLS,6316 TOPANGA CANYON 91367-2214,,,,722110,Full-service restaurants,3,09/01/2015,,"(34.1853, -118.6058)"
0002772440-0001-2,RAFINA,LAKE SIDE CAFE,16817 VENTURA BLVD,ENCINO,16817 VENTURA 91436-1703,14617   KESWICK STREET,VAN NUYS,91405-1204,722110,Full-service restaurants,5,07/04/2014,,"(34.1588, -118.4993)"
0002869494-0001-9,SEON GYU KIM,G STATION,2500 W 8TH STREET #103,LOS ANGELES,2500 8TH 90057-3860,501 S NEW HAMPSHIRE AVENUE #156,LOS ANGELES,90020-1919,722110,Full-service restaurants,1,11/23/2015,,"(34.0567, -118.282)"
0002856650-0001-4,SHANDIZ RESTAURANT INC,SHANDIZ PERSIAN GRILL,19337 VENTURA BLVD,TARZANA,19337 VENTURA 91356-3028,,,,722110,Full-service restaurants,3,09/23/2015,,"(34.1726, -118.5547)"
0000040200-0001-1,MEL-Z ENTERPRISE INC,JACK IN THE BOX 349,16945 SAN FERNANDO MISSION BLVD,GRANADA HILLS,16945 SAN FERNANDO MISSION 91344-4250,18614 UTOPIA COURT,CANYON COUNTRY,91351-3415,722110,Full-service restaurants,12,05/01/2003,,
0002569380-0001-2,JSP VENTURE INC,STAR #2 BBQ,601 S ARDMORE AVENUE,LOS ANGELES,601 ARDMORE 90005-2314,3075 WILSHIRE BLVD #212,LOS ANGELES,90010-1286,722110,Full-service restaurants,10,07/07/2011,,"(34.0635, -118.3015)"
0002403333-0001-1,MANTEE INC,MANTEE MEDITERRANEAN CAFE,10962 VENTURA BLVD,STUDIO CITY,10962 VENTURA 91604-3340,10962 VENTURA BLVD,STUDIO CITY,91604-3340,722110,Full-service restaurants,2,01/14/2009,,"(34.14, -118.3693)"
0002832322-0001-6,GULP PLAYA VISTA INC,,13020 PACIFIC PROMENADE SUITE #1,PLAYA VISTA,13020 PACIFIC PROMENADE 90094-2391,10 POINTE DRIVE SUITE #300,BREA,92821-7620,722110,Full-service restaurants,11,01/01/2015,,"(33.9728, -118.4232)"
0000048133-0001-5,BACARO LLC,THE 3RD STOP,8636 W 3RD STREET,LOS ANGELES,8636 3RD 90048-3323,,,,722110,Full-service restaurants,5,11/10/2003,,
0000051605-0002-8,LUIS E MERCADO-ALVARADO IV,,1415 N AVALON BLVD,WILMINGTON,1415 AVALON 90744-1506,POST OFFICE BOX #244,WILMINGTON,90748-0244,722110,Full-service restaurants,15,01/01/2007,,"(33.7916, -118.2633)"
0000054319-0006-0,IN-N-OUT BURGERS A CALIFORNIA CORPORATION,IN-N-OUT BURGER #35,9858 BALBOA BLVD,NORTHRIDGE,9858 BALBOA 91325-1904,4199 CAMPUS DRIVE FLOOR #9TH,IRVINE,92612-8604,722110,Full-service restaurants,12,12/18/1984,,
0002853154-0001-0,AMERICANA BUFFET AND GRILL,,3650 W MARTIN LUTHER KING JR BLVD UNIT #287,LOS ANGELES,3650 MARTIN LUTHER KING JR 90008-1784,3650 W MARTIN LUTHER KING JR BLVD UNIT #287,LOS ANGELES,90008-1784,722110,Full-service restaurants,8,09/15/2015,,"(34.0114, -118.3363)"
0002850458-0001-1,FERNANNDO RESTREPO,EATNAKED.LA,11310 VANOWEN STREET,NORTH HOLLYWOOD,11310 VANOWEN 91605-6320,,,,722110,Full-service restaurants,2,08/25/2015,,"(34.1939, -118.3772)"
0002835370-0001-7,"MITAKI-SUN, INC.",MITAKI JAPANESE RESTAURANT,1234 WILSHIRE BLVD #105,LOS ANGELES,1234 WILSHIRE 90017-1970,,,,722110,Full-service restaurants,1,05/20/2015,,"(34.0532, -118.2654)"
0000392918-0001-1,CRP ALAGH CORPORATION,SUBWAY,19300 RINALDI STREET #D,NORTHRIDGE,19300 RINALDI 91326-3773,11925 LOUISE AVENUE,GRANADA HILLS,91344-2449,722110,Full-service restaurants,12,02/01/2004,,"(34.2752, -118.5519)"
0002864560-0001-1,REMBER ERNESTO REYES,O' CHAI THAI RESTAURANT,820 N WESTERN AVENUE,LOS ANGELES,820 WESTERN 90029-3778,,,,722110,Full-service restaurants,13,10/30/2015,,"(34.085, -118.3091)"
0000097431-0001-5,KULWANT SINGH,PHILIPOS PIZZA & PASTA,1206 PACIFIC COAST HIGHWAY,HARBOR CITY,1206 PACIFIC COAST 90710-2932,26151 VERMONT AVENUE APARTMENT #202A,HARBOR CITY,90710-3429,722110,Full-service restaurants,15,02/07/1994,,
0000097465-0001-4,GUADALUPE PEREZ,BRITE SPOT RESTAURANT,615 S PACIFIC AVENUE,SAN PEDRO,615 PACIFIC 90731-2629,1720 E ANAHEIM STREET,LONG BEACH,90813-3905,722110,Full-service restaurants,15,03/26/1994,,
0002797773-0001-1,CM TORRES CORP,BLACK ROSE TAVERN,8771 W PICO BLVD,LOS ANGELES,8771 PICO 90035-2212,20460 MAROGE CIRCLE,SANTA CLARITA,91350-3811,722110,Full-service restaurants,5,02/20/2015,,"(34.0546, -118.383)"
0002808746-0001-9,PHILLIP E HUGHES,JUNIORS BBQ PIT,7501 S WESTERN AVENUE,LOS ANGELES,7501 WESTERN 90047-2430,900 N ALAMEDA STREET #862365,LOS ANGELES,90086-2513,722110,Full-service restaurants,8,02/24/2015,,"(33.9718, -118.3089)"
0000101227-0001-7,ANA RUTH GARCIA,NUESTRO DIVINO SALVADOR,5816 YORK BLVD,LOS ANGELES,5816 YORK 90042-2635,1337 S DOWNEY ROAD,LOS ANGELES,90023-4020,722110,Full-service restaurants,14,09/15/2004,,
0000104152-0001-9,THEM L TANG,HONG KONG EXPRESS,3646 E OLYMPIC BLVD,LOS ANGELES,3646 OLYMPIC 90023-3129,,,,722110,Full-service restaurants,14,04/21/2000,,
0000106116-0001-7,MARIA RAMIREZ,LA AZTECA,4203 CHEVY CHASE DRIVE,LOS ANGELES,4203 CHEVY CHASE 90039-1274,,,,722110,Full-service restaurants,13,02/08/1994,,
0000414760-0001-5,VIC PARRINO,COLOMBO'S ITALIAN STEAKHOUSE | COLOMBOS ITALIAN STEAKHOUSE,1833 COLORADO BLVD,LOS ANGELES,1833 COLORADO 90041-1339,1833   COLORADO BLVD,LOS ANGELES,90041-1339,722110,Full-service restaurants,14,03/01/1956,,"(34.1393, -118.2072)"
0002824314-0004-4,CREWS LAX2 LLC,PICK UP STIX,200 WORLD WAY SPACE #236FB,LOS ANGELES,200 WORLD 90045-5885,8685 W SAHARA AVENUE SUITE #280,LAS VEGAS,89117-5886,722110,Full-service restaurants,11,05/15/2015,,"(33.9452, -118.4019)"
0002678161-0001-8,VICTORY BREAD LLC,VICTORY BREAD,14049 VICTORY BLVD,VAN NUYS,14049 VICTORY 91401-2225,,,,722110,Full-service restaurants,2,04/24/2013,,"(34.1866, -118.4391)"
0000114971-0001-3,LUIS ESTEVEZ,TACOS LA NENA,4427 AVALON BLVD,LOS ANGELES,4427 AVALON 90011-5626,3527 BLANCHARD STREET,LOS ANGELES,90063-3841,722110,Full-service restaurants,9,03/16/1994,,
0002783852-0001-1,SAZON K-TRACHO,,4181 S FIGUEROA STREET,LOS ANGELES,4181 FIGUEROA 90037,4181 S FIGUEROA STREET,LOS ANGELES,90037-2040,722110,Full-service restaurants,9,09/01/2014,,"(34.0073, -118.2827)"
0000119896-0001-1,"HOME RESTAURANT SAVP, INC.",HOME RESTAURANT,1760 HILLHURST AVENUE,LOS ANGELES,1760 HILLHURST 90027-4457,,,,722110,Full-service restaurants,4,01/11/2001,,
0000120820-0001-0,ROGELIO FONSECA,LA ABEJA RESTAURANT,3700 N FIGUEROA STREET,LOS ANGELES,3700 FIGUEROA 90065-2447,,,,722110,Full-service restaurants,1,05/01/1995,,
0000509555-0001-3,"BELLA KING FOODS, INC.",KING COLE PIZZA,612 S LORENA STREET,LOS ANGELES,612 LORENA 90023-1644,,,,722110,Full-service restaurants,14,05/01/1986,,"(34.0304, -118.1992)"
0000608786-0004-8,PEDRO P DAVILA,EL GRAN BURRITO,4716 SANTA MONICA BLVD,LOS ANGELES,4716 SANTA MONICA 90029-2616,,,,722110,Full-service restaurants,13,03/15/2015,,"(34.0908, -118.292)"
0002826659-0001-6,SUJITRA FUHTRAKOON,THAI SILK EXPRESS,1260 S SOTO STREET #17,LOS ANGELES,1260 SOTO 90023-2631,,,,722110,Full-service restaurants,14,04/01/2015,,"(34.0272, -118.2195)"
0000133322-0001-6,LAPD LAW ENFORCEMENT EXPLORER SCOUT POST 515E,,19020 VANOWEN STREET,RESEDA,19020 VANOWEN 91335,,,,722110,Full-service restaurants,3,03/11/1981,,
0000160711-0001-8,RICHARD A SCHIFFER,ABBOTS PIZZA CO,1407 ABBOT KINNEY BLVD,VENICE,1407 ABBOT KINNEY 90291-3740,,,,722110,Full-service restaurants,11,01/23/1995,,
0002763940-0001-4,DAS BOOT LLC,THE WOODMAN LA,13615 VENTURA BLVD,SHERMAN OAKS,13615 VENTURA 91423-3701,13615 VENTURA BLVD,SHERMAN OAKS,91423-3701,722110,Full-service restaurants,4,07/30/2014,,"(34.1478, -118.4298)"
0002653479-0001-3,FRESH POTATO FACTORY INC,,9420 RESEDA BLVD SUITE #6,NORTHRIDGE,9420 RESEDA 91324-6026,19241 NORDHOFF STREET APARTMENT #16,NORTHRIDGE,91324-3617,722110,Full-service restaurants,12,01/07/2013,,"(34.2413, -118.536)"
0002603764-0001-0,MOKAM INC,WOOD & WATER,13359 VENTURA BLVD,SHERMAN OAKS,13359 VENTURA 91423-3912,,,,722110,Full-service restaurants,4,03/02/2012,,"(34.1468, -118.4241)"
0002009832-0001-9,CALIFORNIA RESTAURANT INVESTMENTS INC,PALMERI RISTORANTE  | PALMERI SPA RISTORANTE,11650 SAN VICENTE BLVD,LOS ANGELES,11650 SAN VICENTE 90049-5104,11650 SAN VICENTE BLVD,LOS ANGELES,90049-5104,722110,Full-service restaurants,11,12/21/2004,,"(34.0538, -118.4635)"
0002811638-0001-1,SAWTELLE BBQ INC,BUTCHER'S DOG,11301 W OLYMPIC BLVD #116-117,LOS ANGELES,11301 OLYMPIC 90064-1653,,,,722110,Full-service restaurants,11,03/01/2015,,"(34.0381, -118.4412)"
0003053936-0001-8,JUG OF OIL RESTAURANT GROUP INC,HONEYBIRD,3201 S HOOVER STREET   UNIT #1835,LOS ANGELES,3201 HOOVER 90089-1835,,,,722110,Full-service restaurants,9,03/10/2018,,"(34.0204, -118.2861)"
0000932768-0001-7,BRADLEY G GOLD,BLACK DOG COFFEE,5657 WILSHIRE BLVD #150,LOS ANGELES,5657 WILSHIRE 90036-3762,,,,722110,Full-service restaurants,4,09/08/1998,,"(34.0624, -118.3517)"
0000006300-0001-7,ANTONIO BENITEZ RODRIGUEZ,TACOS LOS TORITOS 3,13060 GLENOAKS BLVD #106,SYLMAR,13060 GLENOAKS 91342-3960,13191 HERRICK AVENUE,SYLMAR,91342-3932,722110,Full-service restaurants,7,01/01/1992,,"(34.3077, -118.4499)"
0000133369-0001-2,MARIA ISABEL MONTENEGRO,EL MIGUELENO,2301 S VERMONT AVENUE,LOS ANGELES,2301 VERMONT 90007-1659,,,,722110,Full-service restaurants,8,01/10/1978,,"(34.035, -118.2915)"
0002986268-0001-6,KEBBROS LLC,,1542 N CAHUENGA BLVD,LOS ANGELES,1542 CAHUENGA 90028-7313,992   STEARNS DRIVE,LOS ANGELES,90048-5420,722110,Full-service restaurants,13,05/15/2017,,"(34.0993, -118.3291)"
0000157152-0001-2,JACK IN THE BOX INC,,6800 DE SOTO AVENUE,CANOGA PARK,6800 DE SOTO 91303-2210,9330 BALBOA AVENUE,SAN DIEGO,92123-1516,722110,Full-service restaurants,3,09/27/1994,,
0003099843-0001-9,BRU'S WIFFLE 2 LLC,BRU'S WIFFLES & MORE,3105   WASHINGTON BLVD,MARINA DEL REY,3105 WASHINGTON 90292-5550,,,,722110,Full-service restaurants,11,02/01/2019,,"(33.9893, -118.4494)"
0002746496-0001-8,"TOUR ANGELES, INC",JJUKKU JJUKKU & BBQ,3377 WILSHIRE BLVD SUITE #105,LOS ANGELES,3377 WILSHIRE 90010-1851,,,,722110,Full-service restaurants,10,04/16/2014,,"(34.0617, -118.2972)"
